"","classe","formato.chapéu","superficie.chapéu","cor.chapéu","manchas","cheiro","fixação.himênio","espaço.himênio","tamanho.himênio","cor.himênio","formato.estipe","micélio","superficie.estipe.acima.anel","superficie.estipe.abaixo.anel","cor.estipe.acima.anel","cor.estipe.abaixo.anel","tipo.volva","cor.volva","numero.anel","tipo.anel","cor.esporo","população","habitat"
"3","comestível","sino","macio","branco","manchado","anis","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","prados"
"4","venenoso","convexo","escamoso","branco","manchado","forte","livre","perto","estreito","marrom","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","urbano"
"6","comestível","convexo","escamoso","amarelo","manchado","amendoa","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","graminea"
"7","comestível","sino","macio","branco","manchado","amendoa","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","prados"
"8","comestível","sino","escamoso","branco","manchado","anis","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","prados"
"9","venenoso","convexo","escamoso","branco","manchado","forte","livre","perto","estreito","cor de rosa","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","varias","graminea"
"11","comestível","convexo","escamoso","amarelo","manchado","anis","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","graminea"
"13","comestível","sino","macio","amarelo","manchado","amendoa","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"15","comestível","convexo","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"16","comestível","afunmushroom","fibroso","cinza","sem mancha","nenhum","livre","perto","estreito","preto","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","solitario","urbano"
"17","comestível","plano","fibroso","branco","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"18","venenoso","convexo","macio","marrom","manchado","forte","livre","perto","estreito","marrom","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"19","venenoso","convexo","escamoso","branco","manchado","forte","livre","perto","estreito","marrom","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","urbano"
"20","venenoso","convexo","macio","marrom","manchado","forte","livre","perto","estreito","preto","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","urbano"
"21","comestível","sino","macio","amarelo","manchado","amendoa","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","prados"
